Timestamp,Tipo,Mensagem
2025-01-30 17:33:45,ERRO,Erro ao inicializar o site: name 'By' is not defined
2025-01-30 17:33:45,INFO,Site do Cookie Clicker aberto e maximizado.
2025-01-30 17:33:45,ERROR,Deu erro para entrar no site
2025-01-30 17:33:56,ERRO,Erro ao inicializar o site: name 'By' is not defined
2025-01-30 17:33:56,INFO,Site do Cookie Clicker aberto e maximizado.
2025-01-30 17:33:56,ERROR,Deu erro para entrar no site
2025-01-30 17:35:14,ERRO,Erro ao inicializar o site: name 'By' is not defined
2025-01-30 17:35:14,INFO,Site do Cookie Clicker aberto e maximizado.
2025-01-30 17:35:14,ERROR,Deu erro para entrar no site
2025-01-30 17:35:59,ERRO,"Erro ao inicializar o site: Message: no such element: Unable to locate element: {""method"":""css selector"",""selector"":""[id=""langSelect-PT-BR""]""}
  (Session info: chrome=132.0.6834.159); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#no-such-element-exception
Stacktrace:
	GetHandleVerifier [0x009E74A3+25091]
	(No symbol) [0x0096DC04]
	(No symbol) [0x0084B373]
	(No symbol) [0x0088F4DC]
	(No symbol) [0x0088F65B]
	(No symbol) [0x008CD8E2]
	(No symbol) [0x008B1F54]
	(No symbol) [0x008CB49E]
	(No symbol) [0x008B1CA6]
	(No symbol) [0x008831D5]
	(No symbol) [0x0088435D]
	GetHandleVerifier [0x00CE07C3+3142947]
	GetHandleVerifier [0x00CF1A2B+3213195]
	GetHandleVerifier [0x00CEC412+3191154]
	GetHandleVerifier [0x00A88720+685184]
	(No symbol) [0x00976E1D]
	(No symbol) [0x00973E18]
	(No symbol) [0x00973FB6]
	(No symbol) [0x009666F0]
	BaseThreadInitThunk [0x74F85D49+25]
	RtlInitializeExceptionChain [0x7723CEBB+107]
	RtlGetAppContainerNamedObjectPath [0x7723CE41+561]
"
2025-01-30 17:35:59,INFO,Site do Cookie Clicker aberto e maximizado.
2025-01-30 17:35:59,ERROR,Deu erro para entrar no site
2025-01-30 17:37:54,INFO,Site do Cookie Clicker aberto e idioma alterado para Português.
2025-01-30 17:37:54,INFO,Site do Cookie Clicker aberto e maximizado.
2025-01-30 17:43:05,INFO,Idioma alterado para Português.
2025-01-30 17:43:05,UPLOAD,Carregando salvamento do Cookie Clicker...
2025-01-30 17:43:06,ERRO,"Erro ao carregar salvamento: Message: stale element reference: stale element not found
  (Session info: chrome=132.0.6834.159); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#stale-element-reference-exception
Stacktrace:
	GetHandleVerifier [0x009E74A3+25091]
	(No symbol) [0x0096DC04]
	(No symbol) [0x0084B373]
	(No symbol) [0x0085ACA9]
	(No symbol) [0x00859D3E]
	(No symbol) [0x008516F0]
	(No symbol) [0x0084FAA6]
	(No symbol) [0x00852CBA]
	(No symbol) [0x00852D37]
	(No symbol) [0x00890EF2]
	(No symbol) [0x0088532A]
	(No symbol) [0x008B1F0C]
	(No symbol) [0x00884E44]
	(No symbol) [0x008B21A4]
	(No symbol) [0x008CB49E]
	(No symbol) [0x008B1CA6]
	(No symbol) [0x008831D5]
	(No symbol) [0x0088435D]
	GetHandleVerifier [0x00CE07C3+3142947]
	GetHandleVerifier [0x00CF1A2B+3213195]
	GetHandleVerifier [0x00CEC412+3191154]
	GetHandleVerifier [0x00A88720+685184]
	(No symbol) [0x00976E1D]
	(No symbol) [0x00973E18]
	(No symbol) [0x00973FB6]
	(No symbol) [0x009666F0]
	BaseThreadInitThunk [0x74F85D49+25]
	RtlInitializeExceptionChain [0x7723CEBB+107]
	RtlGetAppContainerNamedObjectPath [0x7723CE41+561]
"
2025-01-30 17:55:15,SAVE,Salvando progresso manualmente...
2025-01-30 17:55:31,ERRO,"Erro ao salvar o progresso: HTTPConnectionPool(host='localhost', port=53886): Max retries exceeded with url: /session/b44d17ea908b5a3a6beb7ecda2052c3e/element (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000166A1309220>: Failed to establish a new connection: [WinError 10061] Nenhuma conexão pôde ser feita porque a máquina de destino as recusou ativamente'))"
